Longitud,Latitud,Elevacion
-71.99403836105735,-13.52009684132734,3549.0
-71.99405698297379,-13.52006348318218,3549.0
-71.99407189789567,-13.52003790142295,3549.0
-71.99409433994127,-13.51999873556163,3549.0
-71.99410933144631,-13.51997278512568,3549.0
-71.99413380867169,-13.51994598512177,3549.0
-71.99415263182203,-13.51991344749855,3549.0
-71.99416772217512,-13.51988736182439,3549.0
-71.99419041083775,-13.519848142697,3549.0
-71.9942055722202,-13.51982193442848,3549.0
-71.9942283673061,-13.51978253004691,3549.0
-71.99424741291801,-13.51974960792278,3549.0
-71.99426650309412,-13.51971660887843,3549.0
-71.99427609991068,-13.51968434844903,3549.0
-71.9942952700618,-13.51965119133749,3549.0
-71.99430877183285,-13.51961211446506,3549.0
-71.99432032279785,-13.51959212577684,3549.0
-71.9943243537304,-13.5195527946632,3549.0
-71.99434763187733,-13.51951115731533,3549.0
-71.99435562331767,-13.51946450898688,3549.0
-71.99436548475529,-13.51943062466477,3549.0
-71.99437928688124,-13.51938962695444,3549.0
-71.99439884960437,-13.51935506616083,3549.0
-71.99441257248147,-13.51931654881561,3549.0
-71.99441272889098,-13.51928552580324,3549.0
-71.9944147630705,-13.51926668257154,3549.0
-71.99443932250844,-13.51923522611856,3549.0
-71.99444080296396,-13.51921291559346,3549.0
-71.99445174790218,-13.51919832692889,3549.0
-71.99447001371178,-13.51917398009543,3549.0
-71.99448831074608,-13.519149591923,3549.0
-71.99451030828531,-13.51912027144305,3549.0
-71.99453290763469,-13.51909036404541,3549.0
-71.99456403179514,-13.51904949357603,3549.0
-71.9945961352501,-13.5190175147228,3549.0
-71.99462441985479,-13.51899057917573,3549.0
-71.99465278562049,-13.51896356579166,3549.0
-71.99469310636269,-13.51892091776118,3549.0
-71.99472167745154,-13.51889370377384,3549.0
-71.99475908701594,-13.51886517732214,3549.0
-71.99478303894152,-13.5188338295761,3549.0
-71.99480270754891,-13.51880797000816,3549.0
-71.99482242329807,-13.51878204832133,3549.0
-71.99485413797275,-13.51874037462506,3539.0
-71.99488648893615,-13.51869803628528,3539.0
-71.99489865770208,-13.51868211151176,3539.0
-71.99492090102335,-13.51864219976025,3539.0
-71.9949285958072,-13.51863197882788,3539.0
-71.99495557084717,-13.51859614683561,3539.0
-71.994971016019,-13.51857563074239,3539.0
-71.99499035377715,-13.51854994391302,3539.0
-71.99501748587058,-13.51851390360811,3539.0
-71.99503302041121,-13.51849326823119,3539.0
-71.99505247093732,-13.5184674314997,3539.0
-71.99506805706497,-13.51844672919079,3539.0
-71.99509147801588,-13.51841561781173,3539.0
-71.9951149507714,-13.51838443836382,3539.0
-71.99513455022483,-13.51835840382144,3539.0
-71.99515881237025,-13.51832639314942,3539.0
-71.99517930493974,-13.5182994221199,3539.0
-71.99519493703855,-13.51826829849052,3539.0
-71.99521965111792,-13.51823575521222,3539.0
-71.9952312492786,-13.51820990212503,3539.0
-71.9952477956137,-13.51818810387526,3539.0
-71.99526359955769,-13.5181566728472,3539.0
-71.99528437527063,-13.51812928954444,3539.0
-71.99530520242298,-13.5181018395452,3539.0
-71.99532607954342,-13.51807432154897,3539.0
-71.99534281876679,-13.51805225862862,3539.0
-71.99535465241028,-13.5180259847512,3539.0
-71.99537145560751,-13.51800382718592,3539.0
-71.99539322480571,-13.51796369617008,3539.0
-71.99540798763226,-13.51794367584759,3539.0
-71.99542387035946,-13.51792245538258,3539.0
-71.99543218546194,-13.51791144908687,3539.0
-71.99544757080946,-13.51788020206071,3539.0
-71.99547215654694,-13.51784753383024,3539.0
-71.99547740125918,-13.51781863044951,3539.0
-71.99547775699456,-13.51778539052224,3539.0
-71.99548791202514,-13.51776070710441,3539.0
-71.99549317815956,-13.51773168713165,3539.0
-71.99549958301237,-13.51771205537396,3539.0
-71.99550373116934,-13.51767352790483,3539.0
-71.99551279552885,-13.51763926798869,3539.0
-71.99551696365538,-13.51760060746998,3539.0
-71.99552226943761,-13.51757136940734,3539.0
-71.99552379493207,-13.51754723346547,3539.0
-71.9955154819425,-13.51751432381971,3539.0
-71.99549084935607,-13.5174924347034,3539.0
-71.99547490368161,-13.51746973565056,3539.0
-71.9954536878095,-13.5174539258955,3539.0
-71.99543171198468,-13.51743902902665,3539.0
-71.99539455123623,-13.51742236799589,3539.0
-71.99537258574645,-13.51740747756789,3539.0
-71.99534513083168,-13.51738886549105,3539.0
-71.99531480627475,-13.51738535550254,3539.0
-71.99527485816184,-13.51738381406162,3539.0
-71.99525008592376,-13.51738402601634,3539.0
-71.99521570932754,-13.51738620058867,3539.0
-71.99518685412326,-13.51739208256019,3539.0
-71.99515390953327,-13.51740361927893,3539.0
-71.99511691000734,-13.5174207875206,3539.0
-71.99508820482788,-13.51742662841549,3539.0
